Date,Tweets
2016-08-30,18322.0
2016-08-31,17456.0
2016-09-01,18373.0
2016-09-02,20605.0
2016-09-03,16664.0
2016-09-04,16972.0
2016-09-05,23183.0
2016-09-06,35065.0
2016-09-07,23060.0
2016-09-08,19731.0
2016-09-09,19091.0
2016-09-10,18701.0
2016-09-11,16124.0
2016-09-12,18821.0
2016-09-13,20868.0
2016-09-14,20554.0
2016-09-15,21820.0
2016-09-16,20588.0
2016-09-17,17201.0
2016-09-18,13717.0
2016-09-19,13913.0
2016-09-20,26427.0
2016-09-21,18606.0
2016-09-22,18260.0
2016-09-23,19726.0
2016-09-24,17748.0
2016-09-25,17984.0
2016-09-26,20210.0
2016-09-27,20912.0
2016-09-28,19750.0
2016-09-29,21230.0
2016-09-30,17676.0
2016-10-01,17285.0
2016-10-02,16869.0
2016-10-03,22770.0
2016-10-04,20191.0
2016-10-05,19102.0
2016-10-06,19174.0
2016-10-07,21247.0
2016-10-08,18265.0
2016-10-09,17597.0
2016-10-10,19079.0
2016-10-11,20605.0
2016-10-12,19254.0
2016-10-13,17289.0
2016-10-14,17479.0
2016-10-15,20593.0
2016-10-16,18498.0
2016-10-17,18689.0
2016-10-18,17940.0
2016-10-19,20522.0
2016-10-20,17281.0
2016-10-21,15145.0
2016-10-22,13770.0
2016-10-23,14832.0
2016-10-24,18801.0
2016-10-25,15756.0
2016-10-26,17995.0
2016-10-27,19247.0
2016-10-28,19798.0
2016-10-29,18463.0
2016-10-30,19812.0
2016-10-31,23052.0
2016-11-01,21499.0
2016-11-02,20959.0
2016-11-03,20253.0
2016-11-04,18517.0
2016-11-05,17653.0
2016-11-06,20121.0
2016-11-07,22734.0
2016-11-08,22954.0
2016-11-09,24370.0
2016-11-10,20972.0
2016-11-11,19923.0
2016-11-12,17540.0
2016-11-13,19573.0
2016-11-14,22700.0
2016-11-15,23129.0
2016-11-16,23016.0
2016-11-17,22943.0
2016-11-18,22105.0
2016-11-19,20995.0
2016-11-20,17894.0
2016-11-21,22770.0
2016-11-22,22500.0
2016-11-23,21827.0
2016-11-24,21061.0
2016-11-25,20433.0
2016-11-26,19734.0
